mouthfeel active slightly oily	train
lot well heineken line	train
beer light alcohol warmth finish pretty smooth	train
light body	train
drink beer time single beer taste	train
label suggest big version boris	train
kind fruity little restrained malt character	train
pleasing aroma	train
rich roasty earthy fruity note	train
big time hop lot bitterness	train
good	train
nice slightly thick	train
interesting aspect beer	train
great melange spicy aggressive flavor	train
malt backbone derive hop ipa malt forward suggestion wet stone cocoa bitter fruity finish	train
decent good pil	train
flavor fleet mention texture bit thin well american wheat beer ve date	train
good beer try	train
finish crisp course clean lagering	train
heck pick sterling sun singer	train
taste sweet maltyyeasty warm spice alcohol caramel	train
brief fizzy head disappear quickly leave look like flat	train
pour nice clear copper hue finger white bubbly head	train
hop not malt	train
great beer	train
hold stick well	train
pour clear golden color thin white head leaf lacing	train
pour rusty orange bubbly offwhite head leaf little lacing glass	train
not taste like rye	train
good coffee stout good	train
beer not	train
funkiness hit hard palate pucker lip make beer hard swallow	train
good bad beer	train
beer big mac fine cuisine	train
receive nlmartin	train
taste hoppy	train
liquid somewhat creamy	train
decent shot style not pull way drinkable	train
smooth sticky	train
solid beer	train
bomber standard pint glass	train
imperial pint dimple mug bar salem	train
draught tap akron	train
mouth malt presence know despite intensity hop	train
smell candi sugar spice coriander	train
crisp palate medium body carbonation	train
sip finish spicy dry feel awesome	train
brilliant copper body glow	train
start tart sweet stout roastiness coffee chocolate move dunkel finish mildly sour beautiful yeast end bottle	train
orange citrus transition bitter pine hop flavor quickly follow middle finish	train
appearance highly carbonate head transparent golden amber	train
go glass enjoy drop	train
good lacing leave suprise huge beer	train
retention lace good	train
decent double pilsner thin well brew	train
mouthfeel great smooth refreshing	train
highly carbonate	train
beer pour carrot orange brown color slow rise carbonation small beige head	train
mouthfeel way heavy double ipa	train
body thin style flavor	train
wish hoppin frog la vega ala definately enjoy	train
bit thick tongue ipa	train
bottle thank	train
tap ohio brewing grill downtown akron night	train
easy drinking ipa easy enjoy	train
stun	train
touch hop come finish roasted malt prominent	train
ve try look like	train
want try light beer beer	train
ontap brewery pour wine glass	train
flavor malt sweetness citrusorange little bit molasse undertone	train
head recedes quickly leave minimal lacing glass	train
not necessarily seek drink bottle	train
beer pretty awesome kill fresh	train
good mouthfeel watery	train
lack nutty dryness	train
damn way like	train
nose mild caramel malt restrain slightly grapefruit hop presence	train
like try holland	train
pour pint hazy honey golden satisfy head	train
think dump boatload hop end boil palate destroy monster	train
mouthfeel fairly clean smooth little cling resin bitterness finish	train
pour cellar temp	train
pour incredibly large white head great retention	train
taste hold note bitter dark chocolate roast malt light molasse coffee licorice dash chocolate syrup	train
bottle split pour duvel tulip	train
want try ve hear decent popular light lager	train
pour dark orangebrown leathery hue	train
bitterness destroy palate happen malty flavor shine orange grapefruit caramel	train
aroma alot strong taste	train
aroma mix belgain fruit toast malt	train
fruity raspberry flavor linger	train
bright hop sweetish malt yeasty fruitiness greet nose express soft citrus sweetish grainy malt berry	train
taste citrusy tongue sweet malt finish	train
beer actually come pretty raw	train
head lacing	train
good date march	train
cbc strike interesting combination note not comment historical authenticity not think need	train
pretty good pale ale left bit underwhelmed end malt profile	train
appreciate fresh barleywine like little alcohol sweet cloy mess opinion	train
appearance pour clear body mediumsize frothy white head	train
whiskey overpower bit	train
solid dipa outstanding	train
balance little minute	train
sure bomber sit	train
drinkable far good city brew	train
nice complex hoppy stay away dirty sock character bad beer joint tend lean	train
mouthfeel creamy chewy imagine look	train
interesting sweet sweetish	train
probably fair review positive bad beer	train
guess ill stick lake erie monster mad hatter imperial dipa	train
beer drink barbecue social event	train
nice foaming thick head	train
taste pucker lip tart sour tend remain dry	train
grapefruit hoppiness hint peach sweetness	train
ontap brew pub berlin train station markt	train
price relatively low brewery definitely purchase	train
sticky lace spot	train
lot floral flavor remind saison cardamom coriander lemongrass	train
drink assault hoppy goodness	train
finish caramel pine needle grapefruit trace alcohol	train
ok lacing inside pint glass	train
malt characteristic typical west coast ipa hop	train
not fill pack intense flavor bitterness	train
solid chunky head	train
taste refreshingly thirst quenching dry pale pilsner malt faint herbal hop	train
taste tad bitter start swell sweet malt not long fade mild astringency	train
drinking give hint whiskey	train
good	train
roommate gf bring home bottle try	train
fluffy yeastwheat twang finish sharp bit hoppy bitterness	train
beer tad heavy good way creamy way syrup like	train
pretty good overall balanced little malt remember tap	train
great balanced flavor not porter	train
hide alcoholic strength	train
actually le flavor typical light lager	train
not great look tan head use strong pour	train
pour thin head typical style	train
good beer	train
taste decent	train
caramel chocolate nose	train
ton ibus chart	train
need little punch taste notch sure	train
impression glad tried fave style equally good iipa easy le expensive	train
woody thing	train
sauvin hop prominent quickly overcome bite earthy bitterness	train
pine grapefruit touch wet leather	train
concern	train
shabby	train
taste sweet lot fruitiness molasse toffee bit anice	train
drinkability high smooth finish	train
heavy flat creamy	train
enjoyable	train
warm sweetspicy finish particularly nice	train
impressive	train
day long	train
pretty hoppiness play overly bitter	train
nonexistent	train
summer feel kick	train
sure	train
sip hit sharp pungent aroma seriously good ipa	train
lacing speak	train
drinkable enjoyable great session beer transition beer dark ale	train
spite watery taste mouthfeel nice	train
big malty aroma slight alcohol	train
mouthfeel acceptable fuller	train
mouthfeel light medium creamy	train
slightly mouthfeel relatively speak fizzi carbonation	train
taste dark roast malt coffee bean cocoa powder	train
pour amber gold huge frothy offwhite head	train
leave little palate not good ve	train
couch	train
taste similar richness	train
expect strong malt backbone brew leave want little bitterness	train
thick viscous carb thing move light let grind bud bit	train
pretty standard body	train
malt barley hop curacao tap water	train
lot flavor	train
medium carbonation	train
bitter start finish	train
simply good ipa ve	train
tingle tongue	train
overall great ipa absolutely	train
good carbonation nice smoothness end beer	train
great light citrus wheat smell rise beer remind local wheat base beer cellar brewery field rat wheat	train
bad way	train
ale certainly fresh hope brewpub pint	train
whiskey right little dark dry fruit smooth maltiness	train
mouth feel thin low abv	train
bottle pour celebrator chalice	train
overall excellent aipa good brewery	train
definitely seek	train
not great hey count	train
beer plenty carbonation bubble dissipate quickly leave smooth mellow finish	train
smell earthy grassy hop little citru	train
not knock like example style	train
feel slick liquid carbonation slightly subdue	train
finish dry bitter	train
lack hop flavor	train
mouthfeel pretty good	train
end true taste style	train
pour thin dark brown head dissipate quickly	train
inch head white color	train
amazing hop profile par super hop doubleimperial ipa	train
pour pint glass	train
overall like beer probably hoppy beer ve	train
smooth not exactly creamy nice smooth body	train
medium bodied mellow carbonation help tickle grainy lemony finish roof mouth middle tongue	train
honestly remind get soap mouth washing hair	train
mouth feel thin touch water normal carbonation	train
look like normal bear beer premium strong beer instead	train
little sweet toffee leave palate	train
mild aroma floral sweet note stand	train
mouthfeel good	train
overall moderately tasty scottish ale bold complex easy drink variety scottish ale well bitter generally english ale	train
head thin	train
taste corny tad carmel	train
good flavor carbonation	train
fan centennial hop check	train
intense bitterness drink	train
appearance tell immediately fresh carbonated	train
pay sixpack worth try	train
remain broken swirl film creamy ring	train
pour clear golden bit pale whit soapy white head slowly dissipate decent lacing	train
think deserve well give	train
good carbonation flavor linger long	train
nice reddish color thin head stick little lacing	train
semisweet chocolate aroma dominate nose	train
plenty bitter sweet dark chocolate nose	train
hint vegetable little honey caramel	train
wait shandy	train
excited smoothness excited beer	train
far like bacon burn plastic sea salt	train
label pint beer red color	train
moderate lacing remain glass	train
overall excellent ipa	train
bad amstel light	train
maybe islay whiskey flavour expect thick flat	train
point beer expensive	train
pour foggy orange gold decent sized crème head	train
like brewery	train
great session beer good walk street savannah	train
mediumlight body little heavy warm	train
bitterness palate short order drinkability suffer bit	train
overall taste not balanced different flavor not mesh great beer	train
thin head disappear quickly	train
straw like malt follow slight pepper bitterness great light beer	train
sampler recommend brew	train
arrive deep amber caramel color small bubbly head	train
citrusy evergreen hop aroma available pretty tame	train
standard pint glass	train
smell fairly average hop	train
feel carbonation strike right	train
somewhat popular import	train
warm light apple juice note malt	train
oz	train
spotty lacing leave glass	train
deep amber color fairly clear	train
semblance hop horrific aftertaste	train
not bottle think mainly available tap isolate spot southern	train
color beer strike	train
pour clear apricot orange	train
appear light amber color decent head	train
pretty good nice summer beer seek try	train
overall nice porter mild sweet mild bitter possibly bit bitter porter good	train
nose nice not enjoy high level sweetness beer	train
mouthfeel right drinkability good style	train
deep reddish brown colour half decent head stick bit	train
slight hint alcohol way	train
drinkable not think hoppy previous poster	train
decent head retention lacing	train
high hope wee beast love bill brew isle home favorite scotch talisker	train
bomber pour snifter	train
taste like bad fruit cola bit chocolate add	train
aroma not ease second	train
gentle nose spicy floral hoppiness earthy note	train
orange tobacco earthy pine tone grapefruit grass list	train
finish touch bitter hop flavor fading leave bitterness	train
light orange cherry slight bitterness end	train
palate super thick viscous	train
feel bite sting tongue	train
hop bit weak short finish aftertaste result	train
brown fl label read bear beer abv	train
abv differ stark beer color	train
bottle stone ipa flute	train
mouthfeel high bitterness medium body	train
expensive stuff compare domestic yield benefit	train
pretty decent belgian style ohio	train
pour strong slightly hazy copper color nice orange hint	train
light yellow appearance decent head	train
believe shakespeare say ala world lose tick agree	train
good lacing	train
finish bitter hoppy nice pine lead mildly astringent finish	train
enjoyable	train
citrus hop pale malt	train
dark ominous orange pour hearty froth	train
smell like ri	train
pine sap floral bouquet aroma	train
maybe easily impressed hop light lager	train
convince fruitvegetable beer note end blow aprihop water	train
finger white head slowly settle thin cap leave solid wall lacing	train
pour cloudy dark yellow color nice carbonation nice little fizzy offwhite head leave sticky lacing	train
not appeal	train
lace glass impressive droopy sloppy plenty rocky crisp stick	train
decent nonetheless	train
brilliant clarity	train
growler fill not remember long island	train
beer dark amber near black color	train
wanna	train
aroma cinnamon ginger nutmeg bourbon	train
medium bodied	train
beer slightly hazy light amber hint brown small head settle quickly somewhat unevenly little lacing	train
sharp bitterness hop cut deep luckily lot cut	train
pour globe glass	train
finger beer rest foam	train
oz	train
know role play	train
nose average	train
slightly chocolatey floral hop dark bread finish	train
beer well aftertaste taste	train
aroma deep hop edge	train
alcoholic	train
outside slightly toasty note rattle place give robust portery character	train
overall pretty good fruit beer	train
silky smooth	train
pour head	train
alright folk finally get post review	train
integrate taste carry creamy mouthfeel	train
floatie	train
beautiful mohogany color hold bright light	train
copper color slightly hazy	train
taste hoptastic	train
enjoy brief sweet perky malt mild nutty aspect slight bready quality	train
feel pretty rich smooth little sharpness underneath	train
smell smoke meat smoke cheese campfire smoke etc	train
pour flat black maybe hint scorch brown edge	train
bit hoppy style ok	train
texture nearly spot perfect rich balanced alcohol present face	train
tap capone black event	train
drinkability pretty good fairly solid stout	train
pleasant	train
overall taste long ago remember well think buy old	train
light body skunky flavor intense imagine	train
sip enjoy go drink fast easy drink	train
bottle purchase single yankee spirit sturbridge	train
fresh citrusy hop tingle sinus	train
love nose	train
style sweet	train
drinkable scottish ale	train
clear dark reddish brown	train
different hoppy stout find enjoyable drinkable	train
ipa bodied smooth delightful feel welcome palate savored swallow slowly eye close head tilt slightly slowly nose extract intricacy caldera steep marvelous ounce	train
pour pale yellow color slight opaqueness good sized head little retention layer little bit lace	train
advertise beer drinker light beer	train
likely craze sweep nation	train
fair bitterness	train
pretty good drinker	train
follow nose	train
love band hear decent thing brew right	train
maybe spoil saison sauvin superior brew style	train
