artisanal big yuck hostess server rude food awful	train
great place mellow cheap dinner friend	train
cozy warm inside	train
dine experience danube notch	train
service awsome nice staff	train
night reservation wait bar little manager nice wait great experience	train
order heap plate thing	train
los pollito doesn real taco al pastor pretty good	train
enjoy overall pleasant gee way overrated reading reveiws surprise hardly remember eat let imagine good meal ve williamsburg solid average small menu great thing	train
place real deal	train
begin end service warm romantic setting especially food breathtaking	train
smarmy owner manager try charm sincerity	train
food good average particularly ordinary expect steakhouse type city	train
good aspect friendly service agree hold table large group half hour late	train
dinner past weekend friend total	train
place virtually vegetarian	train
place small quaint plan bring huge crowd restaurant	train
cafe nice comfortable outdoor chair table service well	train
good food	train
wish wait staff yummy	train
ve find rue de crepe	train
cuisine well service attentive charming	train
monday night bargain prix fix include course meal plus glass wine pair course	train
serivce slow bit noisy crowd night	train
fresh delicious sea food	train
stair bathroom fun good staff inside	train
dinner	train
buffet lunch beat	train
highly impressed like talk go leave restaurant	train
drink come close guy order bowl soup get bread include	train
apology excuse	train
year ago recently go fond memory food service	train
chef handpick fish try fantastic	train
food look great	train
crystal roll particular good sashmi great	train
ask sit booth tell booth leave party come fight urge room maneuver	train
sit come picky apt complain likely find wrong	train
good ruin burger forever	train
notch	train
regular work guy like steak	train
bear raise year move	train
flagging	train
sept decide try markjoseph dis appoint	train
try seat garden nice	train
ala translate similarly food service	train
go old friend come west coast reservation restaurant recommend	train
rest night good	train
think waiter pre occupy job	train
thank iman take care	train
completely delish martini glass drink	train
vegetable salty wing weren good home	train
loud place	train
drink good music loungey	train
calamari ok	train
food terrific kidding	train
love eat comfortable creative atmosphere scrumptious fare friendly staff	train
actually belive burger worth	train
table recommend share portion big split entree food good wish leave home day	train
quality food scope menu amazing	train
everytime reservation end wait minute	train
charming little italian place easily return customer	train
splendid	train
order night regular menu cheap hell	train
food delicious interesting worthy person course meal	train
cashew beef good overwhelmed nut carrot lemongrass pineapple baby corn	train
dinner move downstairs music outstanding yes pay drink unlike place pay absolutely worth	train
food place great	train
lock tell awhile find key	train
service food staff great	train
thank citysearch try place disappoint	train
menu relatively bland expensive consider simplicity	train
tuna sushi grade prepare like tasty	train
nice place hang entire evening	train
plus pack restaurant	train
try goat cheese empanadas amazing	train
appetizer especially small crab amazing entree divine chocolate liqueur dessert factor set restaurant apart sparkle sake see restaurant amazing	train
girlfriend like bottle tipsy new feeling learn night	train
sushi pretty fresh adequately proportion	train
great food latin take gringo group babalu	train
great ambience	train
pound glass water hour	train
come clean dine door tea room main dining room time	train
mean tandoori lobster great martin	train
not know nege place	train
waitress remember friendly know regular fried mini bun condense milk assorted fruit beancurd	train
ve eat restaurant order time dinner	train
menu large cover tiny table list dinner snack ramble wine list addition creamy cappuccino selection international pastry cake gelato	train
thank goodness birthday certificate recommend coupon expense account like time	train
prayer answer friend take bean	train
food great plentiful	train
expect pay upscale restaurant	train
lamb parpadelle great	train
tuna app small tasty	train
stop brunch shop area	train
cook exactly specification tender interior peppery outside meld seamlessly roast garlic steak sauce	train
hey think waiter bad tell manager owner tip waiter	train
office feel way	train
prepare dishevel experience city mess	train
not live	train
um restaurant	train
sure ve get wife eat include tip	train
food fresh delicious	train
come minute later rest apetizer	train
thank god time bread arrive appetizer unclear correlate	train
live neighborhood love eatery regular funky haunt	train
daily special good dessert	train
great decor well pastry coffee	train
great friendly service fast seat fast delivery excellent sushi	train
place leave open	train
admit friend say go astoria dinner expect diner sytle restaurant decor food service suffice	train
strip average medium rare cook instead rare expensive steak house order rare expect rare	train
dish plate unrelenting preciseness lobster arrive meticulously arrange stick mango palm squash whim obfuscation medley turbot clam crab disappear shellfish foam	train
app calamari shrimp	train
delivery hour long	train
good latin spot latin theme spot ny	train
wholly mediocre	train
wasn expect cheesey decor bad service mediocre food add horrible experience	train
definitely food	train
disappoint freshness essa bagel	train
order	train
seat arrive minute early say reservation early let seat tell hostess sure didn menu arrival time	train
service bad	train
service attentive prompt	train
sushi eating purist	train
love soon	train
nice order glass red wine consume crepe table near cafe open far bad way whittle away warm spring afternoon city	train
live near bring friend family regular basis	train
mediocre bad	train
dessert choose get cheesecake mousse trio sorbet ice cream	train
good look fact toast handsome crew night visit	train
takeout joint candlelit table set stainless steel counter	train
service condescendingly friendly waiting table reservation insist	train
like know	train
dj play cool mix place	train
time go month pack take good min bathroom come food excellent	train
go friend brunch great meal	train
second time went try crispy duck good expensive	train
trust try jb decide	train
celebration birthday fiancee go town sense phrase	train
friendly	train
unique restaurant	train
lasagna awesome think	train
unbelievably good food service outstanding	train
get foot place realize mistake	train
service ok price	train
highly reccomend try	train
food consistently good tasty fish dish excellent price great	train
afford babbo lupa perfect place	train
food live hype definitely spot social circuit	train
good place order guest house	train
call petit strip	train
excellent ambiance	train
dinner good kind arrogant rudeness	train
food pretty good dish bit bland like lamb shrimp dish amazing lobster mash potate	train
woul agree flavor mamoun capture falafel like	train
mouse	train
personal favorite seaweed la mein	train
hangar steak good	train
worth negative enjoy positive	train
scrumptious lamb waitress describe tender fall bone girlfriend cod fish tasty	train
food mixed bag	train
hour feel like hour	train
woman work grumpy	train
place good chinese style bbq rib city	train
yes chain service good visit great sandwich salad surprising excellent desert	train
meal cost dollar	train
belly dancer come saturday night pleasant surprise bill come head albeit red wine hookah	train
waitstaff work like oiled machine unecessary snobby host hostess	train
hope chain	train
slightly casual atmosphere relax service friendly engage	train
well order order twice price variety	train
worth wait	train
go gradisca week ago think average	train
ve well mojito past good second	train
dinner	train
remind lot great pub london	train
murray isn cheap	train
spend money restaurant bad service	train
get glass wine mid way entree	train
move away staten island year ago business stop th street time year whet palate	train
time ask extra lime pad thai	train
note reservation matter day time	train
great expensive food	train
service bit slow harken year grow napoli italy thing rush sit dinner table night	train
look real italian food perfect atmosphere place worth wait	train
entree get pork superb sweet pear homemade crispy potato large not finish	train
write review st use site extensively read previous review	train
juste experience try life	train
food good price well	train
food good homemade suggestion excellent	train
eel lover recommend dark freshwater eel	train
food come wrong waiter find wine show end meal	train
time	train
good sushi ve mean eat sushi	train
like regularly try restaurant week dinner atrocious	train
food attentive service del frisco want regular absolutely	train
place welcome wait staff nice talk great italian comfort food happy know block sit sip wine dim light candle light eat good pasta feel home wonderful little spot	train
lively atmosphere bar watch yankee game	train
waiter year young man name chris actually remember speak length evening food wine create good marrige	train
ve great service	train
gazpacho yellow ceviche entree pollo far expectation	train
approach manager completely space couldn care le complaint	train
romantic garden	train
friend appetizer split kobe mini burger	train
line long	train
waitstaff table nice	train
